id,date,amount,isExpense,category
118,2024-03-05,12,1,Food
119,2024-03-06,45,1,Transport
120,2024-03-07,1320,1,Shopping
121,2024-03-07,22,1,Other Expense
122,2024-03-07,8,1,Housing
123,2024-03-08,30,1,Entertainment
124,2024-03-09,12,1,Healthcare
125,2024-03-09,60,1,Food
126,2024-03-10,90,1,Transport
127,2024-03-10,8,1,Shopping
128,2024-03-10,250,1,Other Expense
129,2024-03-11,512,1,Housing
130,2024-03-12,75,1,Entertainment
131,2024-03-13,180,1,Healthcare
132,2024-03-14,322,1,Food
133,2024-03-15,2600,0,Bonus
134,2024-03-15,45,1,Shopping
135,2024-03-15,120,1,Other Expense
136,2024-03-16,1200,1,Housing
137,2024-03-17,15,1,Entertainment
138,2024-03-18,180,1,Healthcare
139,2024-03-19,1850,1,Food
140,2024-03-19,1600,1,Transport
141,2024-03-20,18,1,Shopping
142,2024-03-20,18,1,Other Expense
143,2024-03-21,400,1,Housing
144,2024-03-21,180,1,Entertainment
145,2024-03-21,15,1,Healthcare
146,2024-03-22,250,1,Food
147,2024-03-22,15,1,Transport
148,2024-03-22,808,1,Shopping
149,2024-03-23,180,1,Other Expense
150,2024-03-23,22,1,Housing
151,2024-03-24,30,1,Entertainment
152,2024-03-24,90,1,Healthcare
153,2024-03-25,45,1,Food
154,2024-03-28,2950,0,Bonus
155,2024-03-30,90,1,Shopping
156,2024-03-30,90,1,Other Expense
157,2024-03-31,390,1,Housing
158,2024-04-01,2800,0,Other Income
159,2024-04-01,22,1,Healthcare
160,2024-04-01,15,1,Food
161,2024-04-01,650,1,Transport
162,2024-04-02,45,1,Shopping
163,2024-04-02,90,1,Other Expense
164,2024-04-02,120,1,Housing
165,2024-04-03,90,1,Entertainment
166,2024-04-03,400,1,Healthcare
167,2024-04-04,1600,1,Food
168,2024-04-04,30,1,Transport
169,2024-04-05,400,1,Shopping
170,2024-04-05,90,1,Other Expense
171,2024-04-05,90,1,Housing
172,2024-04-06,22,1,Entertainment
173,2024-04-06,30,1,Healthcare
174,2024-04-07,650,1,Food
175,2024-04-08,12,1,Transport
176,2024-04-08,15,1,Shopping
177,2024-04-09,845,1,Other Expense
178,2024-04-09,12,1,Housing
179,2024-04-10,8,1,Entertainment
180,2024-04-10,560,1,Healthcare
181,2024-04-11,75,1,Food
182,2024-04-11,75,1,Transport
183,2024-04-11,1208,1,Shopping
184,2024-04-12,8,1,Other Expense
185,2024-04-12,45,1,Housing
186,2024-04-13,22,1,Entertainment
187,2024-04-14,15,1,Healthcare
188,2024-04-15,2650,0,Other Income
189,2024-04-15,18,1,Transport
190,2024-04-15,30,1,Shopping
191,2024-04-15,8,1,Other Expense
192,2024-04-16,22,1,Housing
193,2024-04-17,480,1,Entertainment
194,2024-04-18,8,1,Healthcare
195,2024-04-18,22,1,Food
196,2024-04-19,12,1,Transport
197,2024-04-20,575,1,Shopping
198,2024-04-20,30,1,Other Expense
199,2024-04-21,680,1,Housing
200,2024-04-21,420,1,Entertainment
201,2024-04-21,12,1,Healthcare
202,2024-04-22,45,1,Food
203,2024-04-22,400,1,Transport
204,2024-04-23,90,1,Shopping
205,2024-04-23,60,1,Other Expense
206,2024-04-24,60,1,Housing
207,2024-04-24,75,1,Entertainment
208,2024-04-25,650,1,Healthcare
209,2024-04-25,120,1,Food
210,2024-04-26,18,1,Transport
211,2024-04-26,12,1,Shopping
212,2024-04-27,12,1,Other Expense
213,2024-04-28,2550,0,Salary
214,2024-04-28,1208,1,Entertainment
215,2024-04-28,22,1,Healthcare
216,2024-04-29,8,1,Food
217,2024-04-29,18,1,Transport
218,2024-04-29,22,1,Shopping
219,2024-04-30,15,1,Other Expense
220,2024-04-30,1600,1,Housing
221,2024-05-01,3200,0,Other Income
222,2024-05-01,120,1,Healthcare
223,2024-05-01,400,1,Food
224,2024-05-02,60,1,Transport
225,2024-05-03,75,1,Shopping
226,2024-05-04,90,1,Other Expense
227,2024-05-04,90,1,Housing
228,2024-05-05,250,1,Entertainment
229,2024-05-06,315,1,Healthcare
230,2024-05-06,45,1,Food
231,2024-05-07,15,1,Transport
232,2024-05-07,12,1,Shopping
233,2024-05-07,60,1,Other Expense
234,2024-05-08,650,1,Housing
235,2024-05-08,18,1,Entertainment
236,2024-05-08,15,1,Healthcare
237,2024-05-09,250,1,Food
238,2024-05-09,8,1,Transport
239,2024-05-10,18,1,Shopping
240,2024-05-11,60,1,Other Expense
241,2024-05-11,8,1,Housing
242,2024-05-12,18,1,Entertainment
243,2024-05-12,12,1,Healthcare
244,2024-05-13,250,1,Food
245,2024-05-13,30,1,Transport
246,2024-05-13,18,1,Shopping
247,2024-05-14,30,1,Other Expense
248,2024-05-14,15,1,Housing
249,2024-05-15,3200,0,Salary
250,2024-05-15,8,1,Healthcare
251,2024-05-16,18,1,Food
252,2024-05-16,250,1,Transport
253,2024-05-17,12,1,Shopping
254,2024-05-18,45,1,Other Expense
255,2024-05-18,180,1,Housing
256,2024-05-18,75,1,Entertainment
257,2024-05-19,400,1,Healthcare
258,2024-05-19,90,1,Food
259,2024-05-20,8,1,Transport
260,2024-05-20,30,1,Shopping
261,2024-05-20,18,1,Other Expense
262,2024-05-21,650,1,Housing
263,2024-05-21,60,1,Entertainment
264,2024-05-22,45,1,Healthcare
265,2024-05-22,18,1,Food
266,2024-05-22,45,1,Transport
267,2024-05-23,90,1,Shopping
268,2024-05-23,30,1,Other Expense
269,2024-05-24,250,1,Housing
270,2024-05-26,15,1,Entertainment
271,2024-05-26,45,1,Healthcare
272,2024-05-27,90,1,Food
273,2024-05-28,3300,0,Salary
274,2024-05-28,120,1,Shopping
275,2024-05-28,250,1,Other Expense
276,2024-05-29,30,1,Housing
277,2024-05-30,12,1,Entertainment
278,2024-05-30,30,1,Healthcare
279,2024-05-31,60,1,Food
280,2024-05-31,400,1,Transport
281,2024-06-01,4100,0,Other Income
282,2024-06-01,360,0,Salary
283,2024-06-01,45,1,Housing
284,2024-06-01,90,1,Entertainment
285,2024-06-01,680,1,Healthcare
286,2024-06-03,75,1,Food
287,2024-06-03,90,1,Transport
288,2024-06-04,18,1,Shopping
289,2024-06-05,8,1,Other Expense
290,2024-06-05,60,1,Housing
291,2024-06-06,22,1,Entertainment
292,2024-06-06,1230,1,Healthcare
293,2024-06-06,590,1,Food
294,2024-06-07,30,1,Transport
295,2024-06-08,8,1,Shopping
296,2024-06-08,1275,1,Other Expense
297,2024-06-09,180,1,Housing
298,2024-06-09,120,1,Entertainment
299,2024-06-09,650,1,Healthcare
300,2024-06-10,90,1,Food
301,2024-06-11,15,1,Transport
302,2024-06-11,45,1,Shopping
303,2024-06-12,620,1,Other Expense
304,2024-06-13,180,1,Housing
305,2024-06-13,60,1,Entertainment
306,2024-06-13,45,1,Healthcare
307,2024-06-14,8,1,Food
308,2024-06-14,8,1,Transport
309,2024-06-14,120,1,Shopping
310,2024-06-15,4100,0,Bonus
311,2024-06-15,75,1,Housing
312,2024-06-16,22,1,Entertainment
313,2024-06-16,90,1,Healthcare
314,2024-06-17,45,1,Food
315,2024-06-17,60,1,Transport
316,2024-06-17,650,1,Shopping
317,2024-06-18,12,1,Other Expense
318,2024-06-18,60,1,Housing
319,2024-06-18,250,1,Entertainment
320,2024-06-19,400,1,Healthcare
321,2024-06-20,90,1,Food
322,2024-06-20,650,1,Transport
323,2024-06-20,90,1,Shopping
324,2024-06-21,18,1,Other Expense
325,2024-06-22,30,1,Housing
326,2024-06-22,12,1,Entertainment
327,2024-06-23,18,1,Healthcare
328,2024-06-23,18,1,Food
329,2024-06-23,620,1,Transport
330,2024-06-24,120,1,Shopping
331,2024-06-24,1212,1,Other Expense
332,2024-06-24,30,1,Housing
333,2024-06-25,120,1,Entertainment
334,2024-06-25,90,1,Healthcare
335,2024-06-27,45,1,Food
336,2024-06-28,2800,0,Salary
337,2024-06-28,180,1,Shopping
338,2024-06-29,8,1,Other Expense
339,2024-06-29,400,1,Housing
340,2024-06-29,120,1,Entertainment
341,2024-06-30,22,1,Healthcare
342,2024-06-30,180,1,Food
343,2024-07-01,4500,0,Bonus
344,2024-07-01,250,1,Shopping
345,2024-07-01,75,1,Other Expense
346,2024-07-02,75,1,Housing
347,2024-07-03,18,1,Entertainment
348,2024-07-04,8,1,Healthcare
349,2024-07-05,120,1,Food
350,2024-07-05,75,1,Transport
351,2024-07-05,8,1,Shopping
352,2024-07-06,45,1,Other Expense
353,2024-07-07,250,1,Housing
354,2024-07-07,8,1,Entertainment
355,2024-07-08,22,1,Healthcare
356,2024-07-09,18,1,Food
357,2024-07-09,400,1,Transport
358,2024-07-10,120,1,Shopping
359,2024-07-11,18,1,Other Expense
360,2024-07-11,180,1,Housing
361,2024-07-12,1380,1,Entertainment
362,2024-07-12,30,1,Healthcare
363,2024-07-13,60,1,Food
364,2024-07-13,18,1,Transport
365,2024-07-15,2900,0,Other Income
366,2024-07-16,250,1,Other Expense
367,2024-07-17,60,1,Housing
368,2024-07-17,75,1,Entertainment
369,2024-07-18,12,1,Healthcare
370,2024-07-19,822,1,Food
371,2024-07-20,400,1,Transport
372,2024-07-20,90,1,Shopping
373,2024-07-21,30,1,Other Expense
374,2024-07-22,60,1,Housing
375,2024-07-23,45,1,Entertainment
376,2024-07-24,15,1,Healthcare
377,2024-07-25,18,1,Food
378,2024-07-26,400,1,Transport
379,2024-07-26,45,1,Shopping
380,2024-07-27,75,1,Other Expense
381,2024-07-27,90,1,Housing
382,2024-07-28,3300,0,Bonus
383,2024-07-28,22,1,Healthcare
384,2024-07-29,15,1,Food
385,2024-07-29,860,1,Transport
386,2024-07-30,90,1,Shopping
387,2024-08-01,2950,0,Salary
388,2024-08-01,12,1,Housing
389,2024-08-02,30,1,Entertainment
390,2024-08-03,12,1,Healthcare
391,2024-08-03,45,1,Food
392,2024-08-05,60,1,Transport
393,2024-08-06,30,1,Shopping
394,2024-08-06,8,1,Other Expense
395,2024-08-06,22,1,Housing
396,2024-08-07,90,1,Entertainment
397,2024-08-07,15,1,Healthcare
398,2024-08-07,480,1,Food
399,2024-08-08,15,1,Transport
400,2024-08-09,90,1,Shopping
401,2024-08-09,75,1,Other Expense
402,2024-08-10,75,1,Housing
403,2024-08-10,12,1,Entertainment
404,2024-08-11,75,1,Healthcare
405,2024-08-12,30,1,Food
406,2024-08-12,8,1,Transport
407,2024-08-13,22,1,Shopping
408,2024-08-14,22,1,Other Expense
409,2024-08-14,60,1,Housing
410,2024-08-14,45,1,Entertainment
411,2024-08-15,2900,0,Salary
412,2024-08-15,1200,0,Bonus
413,2024-08-15,750,1,Transport
414,2024-08-15,620,1,Shopping
415,2024-08-16,45,1,Other Expense
416,2024-08-16,15,1,Housing
417,2024-08-17,400,1,Entertainment
418,2024-08-17,830,1,Healthcare
419,2024-08-18,22,1,Food
420,2024-08-18,180,1,Transport
421,2024-08-19,45,1,Shopping
422,2024-08-19,30,1,Other Expense
423,2024-08-19,12,1,Housing
424,2024-08-20,22,1,Entertainment
425,2024-08-20,90,1,Healthcare
426,2024-08-20,400,1,Food
427,2024-08-21,650,1,Transport
428,2024-08-22,30,1,Shopping
429,2024-08-22,22,1,Other Expense
430,2024-08-22,60,1,Housing
431,2024-08-23,12,1,Entertainment
432,2024-08-23,180,1,Healthcare
433,2024-08-24,250,1,Food
434,2024-08-24,75,1,Transport
435,2024-08-25,12,1,Shopping
436,2024-08-25,812,1,Other Expense
437,2024-08-26,400,1,Housing
438,2024-08-26,22,1,Entertainment
439,2024-08-27,400,1,Healthcare
440,2024-08-28,2500,0,Other Income
441,2024-08-28,240,0,Salary
442,2024-08-28,60,1,Shopping
443,2024-08-28,120,1,Other Expense
444,2024-08-28,15,1,Housing
445,2024-08-29,400,1,Entertainment
446,2024-08-29,120,1,Healthcare
447,2024-08-30,400,1,Food
448,2024-09-01,4600,0,Bonus
449,2024-09-01,120,0,Other Income
450,2024-09-01,8,1,Other Expense
451,2024-09-01,90,1,Housing
452,2024-09-01,250,1,Entertainment
453,2024-09-02,90,1,Healthcare
454,2024-09-04,180,1,Food
455,2024-09-05,12,1,Transport
456,2024-09-05,8,1,Shopping
457,2024-09-05,45,1,Other Expense
458,2024-09-06,45,1,Housing
459,2024-09-06,12,1,Entertainment
460,2024-09-07,18,1,Healthcare
461,2024-09-07,15,1,Food
462,2024-09-08,650,1,Transport
463,2024-09-08,75,1,Shopping
464,2024-09-09,180,1,Other Expense
465,2024-09-09,75,1,Housing
466,2024-09-09,120,1,Entertainment
467,2024-09-10,650,1,Healthcare
468,2024-09-10,180,1,Food
469,2024-09-11,180,1,Transport
470,2024-09-12,15,1,Shopping
471,2024-09-12,180,1,Other Expense
472,2024-09-12,315,1,Housing
473,2024-09-13,75,1,Entertainment
474,2024-09-14,180,1,Healthcare
475,2024-09-14,22,1,Food
476,2024-09-15,4600,0,Other Income
477,2024-09-15,650,1,Shopping
478,2024-09-15,30,1,Other Expense
479,2024-09-16,75,1,Housing
480,2024-09-16,22,1,Entertainment
481,2024-09-17,400,1,Healthcare
482,2024-09-17,518,1,Food
483,2024-09-17,8,1,Transport
484,2024-09-18,1245,1,Shopping
485,2024-09-18,18,1,Other Expense
486,2024-09-19,180,1,Housing
487,2024-09-20,12,1,Entertainment
488,2024-09-20,30,1,Healthcare
489,2024-09-21,8,1,Food
490,2024-09-22,400,1,Transport
491,2024-09-23,120,1,Shopping
492,2024-09-24,400,1,Other Expense
493,2024-09-24,45,1,Housing
494,2024-09-24,22,1,Entertainment
495,2024-09-25,30,1,Healthcare
496,2024-09-26,45,1,Food
497,2024-09-26,18,1,Transport
498,2024-09-26,22,1,Shopping
499,2024-09-27,60,1,Other Expense
500,2024-09-27,22,1,Housing
501,2024-09-27,875,1,Entertainment
502,2024-09-28,2500,0,Bonus
503,2024-09-28,75,1,Food
504,2024-09-28,400,1,Transport
505,2024-09-29,890,1,Shopping
506,2024-09-29,180,1,Other Expense
507,2024-09-30,60,1,Housing
508,2024-10-01,4050,0,Bonus
509,2024-10-01,15,1,Healthcare
510,2024-10-01,480,1,Food
511,2024-10-02,30,1,Transport
512,2024-10-02,60,1,Shopping
513,2024-10-03,75,1,Other Expense
514,2024-10-03,18,1,Housing
515,2024-10-04,30,1,Entertainment
516,2024-10-04,330,1,Healthcare
517,2024-10-05,75,1,Food
518,2024-10-05,30,1,Transport
519,2024-10-06,120,1,Shopping
520,2024-10-07,322,1,Other Expense
521,2024-10-08,22,1,Housing
522,2024-10-08,308,1,Entertainment
523,2024-10-08,400,1,Healthcare
524,2024-10-09,12,1,Food
525,2024-10-10,22,1,Transport
526,2024-10-11,8,1,Shopping
527,2024-10-11,22,1,Other Expense
528,2024-10-12,90,1,Housing
529,2024-10-13,400,1,Entertainment
530,2024-10-14,12,1,Healthcare
531,2024-10-15,2250,0,Salary
532,2024-10-15,45,1,Transport
533,2024-10-15,60,1,Shopping
534,2024-10-15,75,1,Other Expense
535,2024-10-16,180,1,Housing
536,2024-10-17,812,1,Entertainment
537,2024-10-18,15,1,Healthcare
538,2024-10-18,8,1,Food
539,2024-10-19,1260,1,Transport
540,2024-10-20,22,1,Shopping
541,2024-10-20,30,1,Other Expense
542,2024-10-21,75,1,Housing
543,2024-10-22,120,1,Entertainment
544,2024-10-22,180,1,Healthcare
545,2024-10-24,120,1,Food
546,2024-10-25,180,1,Transport
547,2024-10-26,30,1,Shopping
548,2024-10-27,60,1,Other Expense
549,2024-10-27,180,1,Housing
550,2024-10-28,2300,0,Bonus
551,2024-10-28,12,1,Healthcare
552,2024-10-28,90,1,Food
553,2024-10-29,15,1,Transport
554,2024-10-30,8,1,Shopping
555,2024-10-30,1600,1,Other Expense
556,2024-10-31,75,1,Housing
557,2024-11-01,1800,0,Other Income
558,2024-11-01,60,1,Healthcare
559,2024-11-01,12,1,Food
560,2024-11-02,15,1,Transport
561,2024-11-02,400,1,Shopping
562,2024-11-03,22,1,Other Expense
563,2024-11-03,90,1,Housing
564,2024-11-04,1380,1,Entertainment
565,2024-11-04,15,1,Healthcare
566,2024-11-05,22,1,Food
567,2024-11-05,30,1,Transport
568,2024-11-06,60,1,Shopping
569,2024-11-06,45,1,Other Expense
570,2024-11-06,400,1,Housing
571,2024-11-07,1290,1,Entertainment
572,2024-11-07,15,1,Healthcare
573,2024-11-08,1208,1,Food
574,2024-11-08,75,1,Transport
575,2024-11-08,650,1,Shopping
576,2024-11-09,30,1,Other Expense
577,2024-11-09,120,1,Housing
578,2024-11-09,45,1,Entertainment
579,2024-11-10,400,1,Healthcare
580,2024-11-11,400,1,Food
581,2024-11-12,400,1,Transport
582,2024-11-13,22,1,Shopping
583,2024-11-13,250,1,Other Expense
584,2024-11-15,2900,0,Other Income
585,2024-11-15,75,1,Entertainment
586,2024-11-15,8,1,Healthcare
587,2024-11-16,1245,1,Food
588,2024-11-16,575,1,Transport
589,2024-11-17,120,1,Shopping
590,2024-11-17,120,1,Other Expense
591,2024-11-18,60,1,Housing
592,2024-11-18,60,1,Entertainment
593,2024-11-18,60,1,Healthcare
594,2024-11-19,8,1,Food
595,2024-11-20,15,1,Transport
596,2024-11-22,400,1,Shopping
597,2024-11-23,18,1,Other Expense
598,2024-11-24,180,1,Housing
599,2024-11-24,12,1,Entertainment
600,2024-11-25,75,1,Healthcare
601,2024-11-25,250,1,Food
602,2024-11-26,400,1,Transport
603,2024-11-26,250,1,Shopping
604,2024-11-26,18,1,Other Expense
605,2024-11-27,60,1,Housing
606,2024-11-28,3350,0,Salary
607,2024-11-28,90,1,Healthcare
608,2024-11-28,22,1,Food
609,2024-11-29,22,1,Transport
610,2024-11-30,1150,1,Shopping
611,2024-11-30,120,1,Other Expense
612,2024-12-01,4100,0,Salary
613,2024-12-01,120,1,Entertainment
614,2024-12-01,12,1,Healthcare
615,2024-12-02,15,1,Food
616,2024-12-02,308,1,Transport
617,2024-12-03,15,1,Shopping
618,2024-12-03,45,1,Other Expense
619,2024-12-04,22,1,Housing
620,2024-12-04,12,1,Entertainment
621,2024-12-05,808,1,Healthcare
622,2024-12-06,308,1,Food
623,2024-12-06,12,1,Transport
624,2024-12-07,250,1,Shopping
625,2024-12-08,60,1,Other Expense
626,2024-12-09,90,1,Housing
627,2024-12-09,75,1,Entertainment
628,2024-12-10,120,1,Healthcare
629,2024-12-12,45,1,Food
630,2024-12-12,650,1,Transport
631,2024-12-13,15,1,Shopping
632,2024-12-14,12,1,Other Expense
633,2024-12-14,120,1,Housing
634,2024-12-14,90,1,Entertainment
635,2024-12-15,3200,0,Other Income
636,2024-12-15,250,1,Food
637,2024-12-15,15,1,Transport
638,2024-12-15,60,1,Shopping
639,2024-12-16,120,1,Other Expense
640,2024-12-17,18,1,Housing
641,2024-12-17,1215,1,Entertainment
642,2024-12-17,45,1,Healthcare
643,2024-12-18,18,1,Food
644,2024-12-19,15,1,Transport
645,2024-12-19,180,1,Shopping
646,2024-12-20,400,1,Other Expense
647,2024-12-20,8,1,Housing
648,2024-12-21,545,1,Entertainment
649,2024-12-21,18,1,Healthcare
650,2024-12-22,8,1,Food
651,2024-12-22,60,1,Transport
652,2024-12-22,22,1,Shopping
653,2024-12-23,12,1,Other Expense
654,2024-12-23,15,1,Housing
655,2024-12-24,400,1,Entertainment
656,2024-12-25,15,1,Healthcare
657,2024-12-25,8,1,Food
658,2024-12-26,512,1,Transport
659,2024-12-26,15,1,Shopping
660,2024-12-26,60,1,Other Expense
661,2024-12-27,60,1,Housing
662,2024-12-27,400,1,Entertainment
663,2024-12-28,3250,0,Salary
664,2024-12-28,1215,1,Food
665,2024-12-29,650,1,Transport
666,2024-12-30,12,1,Shopping
667,2024-12-30,90,1,Other Expense
668,2024-12-31,12,1,Housing
669,2025-01-01,2600,0,Salary
670,2025-01-01,45,1,Healthcare
671,2025-01-01,45,1,Food
672,2025-01-02,75,1,Transport
673,2025-01-02,12,1,Shopping
674,2025-01-02,45,1,Other Expense
675,2025-01-03,680,1,Housing
676,2025-01-04,180,1,Entertainment
677,2025-01-05,22,1,Healthcare
678,2025-01-05,12,1,Food
679,2025-01-07,30,1,Transport
680,2025-01-08,30,1,Shopping
681,2025-01-10,518,1,Other Expense
682,2025-01-11,22,1,Housing
683,2025-01-11,120,1,Entertainment
684,2025-01-11,15,1,Healthcare
685,2025-01-12,75,1,Food
686,2025-01-12,180,1,Transport
687,2025-01-13,12,1,Shopping
688,2025-01-13,22,1,Other Expense
689,2025-01-13,120,1,Housing
690,2025-01-14,22,1,Entertainment
691,2025-01-15,1900,0,Bonus
692,2025-01-15,250,1,Food
693,2025-01-16,22,1,Transport
694,2025-01-17,30,1,Shopping
695,2025-01-18,75,1,Other Expense
696,2025-01-19,180,1,Housing
697,2025-01-19,18,1,Entertainment
698,2025-01-20,375,1,Healthcare
699,2025-01-20,22,1,Food
700,2025-01-21,400,1,Transport
701,2025-01-21,60,1,Shopping
702,2025-01-22,18,1,Other Expense
703,2025-01-23,22,1,Housing
704,2025-01-23,360,1,Entertainment
705,2025-01-24,90,1,Healthcare
706,2025-01-24,60,1,Food
707,2025-01-24,180,1,Transport
708,2025-01-25,1450,1,Shopping
709,2025-01-25,45,1,Other Expense
710,2025-01-26,1218,1,Housing
711,2025-01-26,18,1,Entertainment
712,2025-01-27,8,1,Healthcare
713,2025-01-28,4150,0,Other Income
714,2025-01-28,250,1,Transport
715,2025-01-28,650,1,Shopping
716,2025-01-28,18,1,Other Expense
717,2025-01-29,120,1,Housing
718,2025-01-29,90,1,Entertainment
719,2025-01-30,900,1,Healthcare
720,2025-01-31,400,1,Food
721,2025-01-31,650,1,Transport
722,2025-02-01,1800,0,Other Income
723,2025-02-01,120,0,Salary
724,2025-02-01,12,1,Housing
725,2025-02-01,15,1,Entertainment
726,2025-02-02,250,1,Healthcare
727,2025-02-02,30,1,Food
728,2025-02-03,75,1,Transport
729,2025-02-03,8,1,Shopping
730,2025-02-03,30,1,Other Expense
731,2025-02-04,8,1,Housing
732,2025-02-05,650,1,Entertainment
733,2025-02-06,75,1,Healthcare
734,2025-02-06,650,1,Food
735,2025-02-06,330,1,Transport
736,2025-02-07,8,1,Shopping
737,2025-02-07,650,1,Other Expense
738,2025-02-08,8,1,Housing
739,2025-02-09,12,1,Entertainment
740,2025-02-10,8,1,Healthcare
741,2025-02-11,30,1,Food
742,2025-02-12,120,1,Transport
743,2025-02-13,60,1,Shopping
744,2025-02-13,75,1,Other Expense
745,2025-02-14,680,1,Housing
746,2025-02-14,180,1,Entertainment
747,2025-02-15,2600,0,Salary
748,2025-02-15,12,1,Food
749,2025-02-15,30,1,Transport
750,2025-02-16,180,1,Shopping
751,2025-02-16,1230,1,Other Expense
752,2025-02-17,12,1,Housing
753,2025-02-17,650,1,Entertainment
754,2025-02-19,22,1,Healthcare
755,2025-02-20,22,1,Food
756,2025-02-21,60,1,Transport
757,2025-02-21,12,1,Shopping
758,2025-02-21,18,1,Other Expense
759,2025-02-22,400,1,Housing
760,2025-02-22,75,1,Entertainment
761,2025-02-23,60,1,Healthcare
762,2025-02-23,650,1,Food
763,2025-02-24,18,1,Transport
764,2025-02-24,45,1,Shopping
765,2025-02-24,650,1,Other Expense
766,2025-02-25,315,1,Housing
767,2025-02-25,12,1,Entertainment
768,2025-02-26,22,1,Healthcare
769,2025-02-26,180,1,Food
770,2025-02-26,12,1,Transport
771,2025-02-27,15,1,Shopping
772,2025-02-27,180,1,Other Expense
773,2025-02-27,90,1,Housing
774,2025-02-28,2200,0,Salary
775,2025-02-28,15,1,Healthcare
776,2025-02-28,1380,1,Food
777,2025-02-28,8,1,Transport
778,2025-03-01,2500,0,Bonus
779,2025-03-01,250,1,Other Expense
